iter	Passed	Remaining
0	50	50439
1	51	25489
2	51	17272
3	52	13048
4	53	10722
5	55	9141
6	56	7973
7	57	7111
8	58	6487
9	60	6017
10	61	5543
11	62	5147
12	62	4773
13	64	4535
14	65	4332
15	66	4115
16	67	3919
17	68	3737
18	69	3598
19	72	3565
20	73	3410
21	75	3366
22	77	3295
23	77	3169
24	78	3071
25	79	2981
26	79	2881
27	80	2807
28	81	2734
29	82	2663
30	82	2585
31	83	2519
32	84	2466
33	85	2421
34	89	2471
35	91	2451
36	92	2413
37	93	2361
38	94	2325
39	95	2288
40	96	2248
41	96	2208
42	97	2162
43	98	2136
44	98	2100
45	99	2059
46	99	2020
47	100	1993
48	101	1962
49	105	2005
50	106	1974
51	107	1966
52	108	1937
53	108	1906
54	109	1876
55	109	1847
56	109	1819
57	110	1791
58	110	1764
59	111	1739
60	111	1714
61	111	1690
62	112	1667
63	112	1644
64	114	1641
65	114	1624
66	115	1607
67	116	1592
68	117	1580
69	119	1586
70	120	1576
71	122	1573
72	123	1573
73	125	1570
74	127	1569
75	127	1552
76	128	1539
77	129	1525
78	129	1512
79	130	1498
80	130	1486
81	131	1470
82	131	1452
83	132	1449
84	133	1440
85	134	1429
86	134	1416
87	135	1402
88	136	1396
89	137	1385
90	137	1374
91	138	1362
92	138	1351
93	139	1340
94	139	1328
95	140	1318
96	140	1306
97	141	1300
98	143	1302
99	144	1298
100	144	1287
101	145	1284
102	146	1274
103	146	1263
104	147	1253
105	147	1243
106	147	1233
107	148	1225
108	148	1216
109	149	1208
110	149	1199
111	150	1190
112	150	1182
113	151	1175
114	151	1167
115	151	1158
116	152	1149
117	152	1141
118	153	1134
119	153	1128
120	154	1121
121	154	1113
122	155	1106
123	155	1099
124	155	1091
125	156	1084
126	156	1076
127	156	1069
128	157	1062
129	157	1055
130	157	1048
131	158	1041
132	158	1034
133	159	1028
134	159	1022
135	159	1015
136	160	1009
137	160	1003
138	161	997
139	161	991
140	161	985
141	161	978
142	162	972
143	162	966
144	162	960
145	163	954
146	163	949
147	164	944
148	164	939
149	164	934
150	165	929
151	165	924
152	166	919
153	166	914
154	166	909
155	167	905
156	167	900
157	168	895
158	168	891
159	168	886
160	169	881
161	169	877
162	169	872
163	170	868
164	170	863
165	171	859
166	171	855
167	171	850
168	172	846
169	172	841
170	172	837
171	173	833
172	173	829
173	173	825
174	174	821
175	174	817
176	174	813
177	175	809
178	175	805
179	175	801
180	176	797
181	176	793
182	176	789
183	177	786
184	177	784
185	178	781
186	179	778
187	179	775
188	180	775
189	181	771
190	181	768
191	181	765
192	182	762
193	182	758
194	183	755
195	183	752
196	183	749
197	184	746
198	184	744
199	185	741
200	185	738
201	185	734
202	186	731
203	186	728
204	187	725
205	187	722
206	187	718
207	188	715
208	188	712
209	188	709
210	189	706
211	189	704
212	189	701
213	190	698
214	190	695
215	190	692
216	191	689
217	191	686
218	191	683
219	192	681
220	192	678
221	192	675
222	193	672
223	193	670
224	193	667
225	194	665
226	194	662
227	194	659
228	195	657
229	195	655
230	196	652
231	196	650
232	196	648
233	197	645
234	197	643
235	198	641
236	198	638
237	198	636
238	199	634
239	199	632
240	200	630
241	200	628
242	200	625
243	201	623
244	201	621
245	202	619
246	202	616
247	202	614
248	203	612
249	203	610
250	203	608
251	204	605
252	204	603
253	204	601
254	205	599
255	205	597
256	205	595
257	206	593
258	206	591
259	206	589
260	207	587
261	207	584
262	208	582
263	208	580
264	208	578
265	209	576
266	209	574
267	209	573
268	210	571
269	210	569
270	211	567
271	211	566
272	211	564
273	212	562
274	212	560
275	212	558
276	213	556
277	213	555
278	214	553
279	214	551
280	214	550
281	215	548
282	215	546
283	216	544
284	216	543
285	216	541
286	217	539
287	217	537
288	217	536
289	218	534
290	218	532
291	218	530
292	219	529
293	219	527
294	219	525
295	220	524
296	220	522
297	220	520
298	221	518
299	221	517
300	221	515
301	222	513
302	222	512
303	223	510
304	223	509
305	224	508
306	224	506
307	224	505
308	225	503
309	225	502
310	226	500
311	226	499
312	226	497
313	227	496
314	227	495
315	228	493
316	228	491
317	228	490
318	229	488
319	229	487
320	229	486
321	230	484
322	230	483
323	230	481
324	231	480
325	231	479
326	232	477
327	232	476
328	232	475
329	233	474
330	233	472
331	234	471
332	234	469
333	234	468
334	235	466
335	235	465
336	235	464
337	236	462
338	236	461
339	236	460
340	237	458
341	237	457
342	238	455
343	238	454
344	238	453
345	239	451
346	239	450
347	239	449
348	240	447
349	240	446
350	240	445
351	241	444
352	241	443
353	242	441
354	242	440
355	242	439
356	243	437
357	243	436
358	243	435
359	244	434
360	244	432
361	244	431
362	245	430
363	245	429
364	246	428
365	246	427
366	246	425
367	247	424
368	247	423
369	248	422
370	248	421
371	248	419
372	249	418
373	249	417
374	249	416
375	250	415
376	250	413
377	250	412
378	251	411
379	251	410
380	251	409
381	252	407
382	252	406
383	252	405
384	253	404
385	253	403
386	253	402
387	254	401
388	254	399
389	255	398
390	255	397
391	255	396
392	256	395
393	256	394
394	256	393
395	257	392
396	257	391
397	258	390
398	258	389
399	258	388
400	259	387
401	259	385
402	259	384
403	260	383
404	260	382
405	260	381
406	261	380
407	261	379
408	262	378
409	262	377
410	262	376
411	263	375
412	263	374
413	263	373
414	264	372
415	264	371
416	264	370
417	265	369
418	265	368
419	265	367
420	266	366
421	266	365
422	266	364
423	267	363
424	267	362
425	268	361
426	268	360
427	268	359
428	269	358
429	269	357
430	269	356
431	270	355
432	270	354
433	270	353
434	271	352
435	271	351
436	272	350
437	272	349
438	273	348
439	273	347
440	273	346
441	274	345
442	274	344
443	274	344
444	275	343
445	275	342
446	275	341
447	276	340
448	276	339
449	277	338
450	277	337
451	277	336
452	278	336
453	278	335
454	278	334
455	279	333
456	279	332
457	280	331
458	280	330
459	280	329
460	281	328
461	281	327
462	281	326
463	282	325
464	282	325
465	282	324
466	283	323
467	283	322
468	283	321
469	284	320
470	284	319
471	284	318
472	285	317
473	285	317
474	286	316
475	286	315
476	286	314
477	287	313
478	287	312
479	288	312
480	288	311
481	288	310
482	289	309
483	289	308
484	290	308
485	290	307
486	291	306
487	291	305
488	291	305
489	292	304
490	292	303
491	293	302
492	293	301
493	293	300
494	294	300
495	294	299
496	294	298
497	295	297
498	295	296
499	295	295
500	296	294
501	296	294
502	296	293
503	297	292
504	297	291
505	297	290
506	298	289
507	298	289
508	298	288
509	299	287
510	299	286
511	299	285
512	300	285
513	300	284
514	301	283
515	301	282
516	301	282
517	302	281
518	302	280
519	303	279
520	303	279
521	304	278
522	304	277
523	304	276
524	305	276
525	305	275
526	306	274
527	306	273
528	306	273
529	307	272
530	307	271
531	308	270
532	308	270
533	308	269
534	309	268
535	309	267
536	309	267
537	310	266
538	310	265
539	310	264
540	311	264
541	311	263
542	311	262
543	312	261
544	312	260
545	312	260
546	313	259
547	313	258
548	314	257
549	314	257
550	314	256
551	315	255
552	315	254
553	315	254
554	316	253
555	316	252
556	316	251
557	317	251
558	317	250
559	317	249
560	318	249
561	318	248
562	319	247
563	319	246
564	319	246
565	320	245
566	320	244
567	321	244
568	321	243
569	322	242
570	322	242
571	322	241
572	323	240
573	323	240
574	323	239
575	324	238
576	324	238
577	325	237
578	325	236
579	325	235
580	326	235
581	326	234
582	326	233
583	327	233
584	327	232
585	327	231
586	328	230
587	328	230
588	328	229
589	329	228
590	329	228
591	329	227
592	330	226
593	330	226
594	331	225
595	331	224
596	331	223
597	332	223
598	332	222
599	332	221
600	333	221
601	333	220
602	334	220
603	334	219
604	334	218
605	335	217
606	335	217
607	336	216
608	336	216
609	337	215
610	337	214
611	337	214
612	338	213
613	338	212
614	339	212
615	339	211
616	339	210
617	340	210
618	340	209
619	340	208
620	341	208
621	341	207
622	341	206
623	342	206
624	342	205
625	342	204
626	343	204
627	343	203
628	343	202
629	344	202
630	344	201
631	344	200
632	345	200
633	345	199
634	345	198
635	346	198
636	346	197
637	347	196
638	347	196
639	347	195
640	348	195
641	348	194
642	349	193
643	349	193
644	350	192
645	350	192
646	350	191
647	351	190
648	351	190
649	352	189
650	352	189
651	353	188
652	353	187
653	353	187
654	354	186
655	354	185
656	354	185
657	355	184
658	355	183
659	355	183
660	356	182
661	356	182
662	356	181
663	357	180
664	357	180
665	358	179
666	358	178
667	358	178
668	359	177
669	359	177
670	359	176
671	360	175
672	360	175
673	360	174
674	361	173
675	361	173
676	361	172
677	362	172
678	362	171
679	363	170
680	363	170
681	363	169
682	364	169
683	364	168
684	365	167
685	365	167
686	365	166
687	366	166
688	366	165
689	367	164
690	367	164
691	368	163
692	368	163
693	368	162
694	369	162
695	369	161
696	370	160
697	370	160
698	370	159
699	371	159
700	371	158
701	371	157
702	372	157
703	372	156
704	372	155
705	373	155
706	373	154
707	373	154
708	374	153
709	374	152
710	374	152
711	375	151
712	375	151
713	375	150
714	376	149
715	376	149
716	377	148
717	377	148
718	377	147
719	378	147
720	378	146
721	379	145
722	379	145
723	379	144
724	380	144
725	380	143
726	381	143
727	381	142
728	381	141
729	382	141
730	382	140
731	383	140
732	383	139
733	384	139
734	384	138
735	384	138
736	385	137
737	385	136
738	385	136
739	386	135
740	386	135
741	386	134
742	387	133
743	387	133
744	387	132
745	388	132
746	388	131
747	388	131
748	389	130
749	389	129
750	390	129
751	390	128
752	390	128
753	391	127
754	391	127
755	391	126
756	392	125
757	392	125
758	392	124
759	393	124
760	393	123
761	394	123
762	394	122
763	395	122
764	395	121
765	395	120
766	396	120
767	396	119
768	397	119
769	397	118
770	397	118
771	398	117
772	398	117
773	399	116
774	399	116
775	400	115
776	400	114
777	400	114
778	401	113
779	401	113
780	401	112
781	402	112
782	402	111
783	402	110
784	403	110
785	403	109
786	403	109
787	404	108
788	404	108
789	404	107
790	405	107
791	405	106
792	405	105
793	406	105
794	406	104
795	406	104
796	407	103
797	407	103
798	408	102
799	408	102
800	408	101
801	409	101
802	409	100
803	410	99
804	410	99
805	410	98
806	411	98
807	411	97
808	411	97
809	412	96
810	412	96
811	413	95
812	413	95
813	413	94
814	414	94
815	414	93
816	415	92
817	415	92
818	415	91
819	416	91
820	416	90
821	416	90
822	417	89
823	417	89
824	417	88
825	418	88
826	418	87
827	418	87
828	419	86
829	419	85
830	419	85
831	420	84
832	420	84
833	421	83
834	421	83
835	421	82
836	422	82
837	422	81
838	422	81
839	423	80
840	423	80
841	423	79
842	424	79
843	424	78
844	425	77
845	425	77
846	425	76
847	426	76
848	426	75
849	426	75
850	427	74
851	427	74
852	428	73
853	428	73
854	429	72
855	429	72
